City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,avarua,-21.2078,-159.775,26.03,78,75,9.26,CK,1701203725
1,wailua homesteads,22.0669,-159.378,21.44,88,100,4.12,US,1701203442
2,punta arenas,-53.15,-70.9167,11.06,40,40,15.43,CL,1701203728
3,ceeldheer,3.8488,47.1806,26.54,75,47,6.09,SO,1701203729
4,jamestown,42.097,-79.2353,-2.23,89,100,7.72,US,1701203730
5,ust-nera,64.5667,143.2,-20.99,99,100,1.44,RU,1701203732
6,ushuaia,-54.8,-68.3,10.81,54,40,4.12,AR,1701203487
7,mhamid,29.82,-5.72,16.53,23,0,1.74,MA,1701203734
8,talnakh,69.4865,88.3972,-23.66,97,31,2.05,RU,1701203516
9,ola,59.5833,151.2833,-13.4,77,100,3.88,RU,1701203737
10,puerto natales,-51.7236,-72.4875,12.25,43,75,12.35,CL,1701203738
11,albany,42.6001,-73.9662,0.2,57,53,1.79,US,1701203740
12,port-aux-francais,-49.35,70.2167,5.72,98,100,13.59,TF,1701203742
13,anadyr,64.75,177.4833,-2.72,80,0,7.0,RU,1701203485
14,alice springs,-23.7,133.8833,21.75,49,100,2.06,AU,1701203745
15,storozhevaya,43.8789,41.4514,-0.83,55,20,1.56,RU,1701203747
16,stanley,54.868,-1.6985,0.99,84,0,3.6,GB,1701203748
17,waitangi,-43.9535,-176.5597,15.46,91,91,3.13,NZ,1701203749
18,naha,26.2125,127.6811,15.95,77,0,2.57,JP,1701203493
19,kristiansund,63.1115,7.732,-4.64,74,75,3.09,NO,1701203719
20,magadan,59.5667,150.8,-13.16,74,100,4.03,RU,1701203753
21,edna,28.9786,-96.6461,16.59,50,1,1.91,US,1701203755
22,vorkuta,67.5,64.0,-12.69,91,100,3.0,RU,1701203756
23,durango,24.8333,-104.8333,20.63,21,5,2.17,MX,1701203757
24,grytviken,-54.2811,-36.5092,0.11,67,7,4.44,GS,1701203616
25,iskateley,67.6803,53.1512,-17.21,95,100,4.92,RU,1701203760
26,keflavik,64.0049,-22.5624,2.95,86,75,4.63,IS,1701203552
27,muli,2.9167,73.5667,27.36,80,100,4.76,MV,1701203763
28,blackmans bay,-43.0167,147.3167,12.07,96,85,3.23,AU,1701203764
29,kodiak,57.79,-152.4072,5.73,75,75,13.38,US,1701203765
30,west island,-12.1568,96.8225,24.99,73,40,4.63,CC,1701203767
31,barguzin,53.6167,109.6167,-15.71,96,86,1.05,RU,1701203768
32,tiksi,71.6872,128.8694,-16.67,90,100,8.37,RU,1701203769
33,yellowknife,62.456,-114.3525,-11.99,90,75,1.03,CA,1701203771
34,saint-denis,48.9167,2.3333,4.52,88,75,2.57,FR,1701203772
35,cabo san lucas,22.8909,-109.9124,30.34,60,0,2.24,MX,1701203774
36,karratha,-20.7377,116.8463,23.12,54,0,7.9,AU,1701203775
37,gadzhiyevo,69.2551,33.3362,-1.61,83,100,8.19,RU,1701203777
38,ancud,-41.8697,-73.8203,12.06,78,41,6.52,CL,1701203778
39,bredasdorp,-34.5322,20.0403,16.46,66,19,4.68,ZA,1701203779
40,baker city,44.7749,-117.8344,10.36,54,0,6.69,US,1701203781
41,schotten,50.5,9.1333,-0.6,88,100,1.82,DE,1701203782
42,dryden,49.7833,-92.7503,-8.84,86,100,5.66,CA,1701203783
43,bethel,41.3712,-73.414,2.05,50,40,4.63,US,1701203785
44,guerrero negro,27.9769,-114.0611,21.85,52,100,3.54,MX,1701203786
45,adamstown,-25.066,-130.1015,23.23,86,85,7.08,PN,1701203787
46,porto novo,6.4965,2.6036,27.9,84,92,3.97,BJ,1701203548
47,fort st. john,56.2499,-120.8529,4.94,56,20,9.26,CA,1701203790
48,jayapura,-2.5333,140.7,23.66,89,100,1.63,ID,1701203576
49,miches,18.9836,-69.0476,30.11,79,19,3.33,DO,1701203794
50,prince rupert,54.3161,-130.3201,7.83,98,100,2.57,CA,1701203796
51,lebu,-37.6167,-73.65,13.14,70,5,6.85,CL,1701203797
52,enewetak,11.3474,162.3373,27.75,77,97,10.82,MH,1701203798
53,margaret river,-33.95,115.0667,14.54,90,2,1.4,AU,1701203800
54,isafjordur,66.0755,-23.124,0.55,77,100,1.15,IS,1701203801
55,hithadhoo,-0.6,73.0833,27.83,76,93,4.55,MV,1701203802
56,klyuchi,52.2667,79.1667,-1.24,66,100,4.15,RU,1701203804
57,olonkinbyen,70.9221,-8.7187,1.97,76,100,3.96,SJ,1701203805
